,tconst,primaryTitle,connection,titleType,startYear,endYear,runtimeMinutes,numVotes,averageRating
0,tt0108778,Friends,,tvSeries,1994,2004,22,1087066,8.9
1,tt0583508,Friends: The One Before the Last One - Ten Years of Friends,Follows Friends (tt0108778),tvSpecial,2004,\N,22,1369,8.7
2,tt0133093,The Matrix,,movie,1999,\N,136,2051103,8.7
3,tt0366179,The Second Renaissance Part I,Follows The Matrix (tt0133093),tvEpisode,2003,\N,9,8392,8.0
4,tt0350934,Final Flight of the Osiris,Follows The Matrix (tt0133093),tvEpisode,2003,\N,9,8443,7.5
5,tt0368575,The Second Renaissance Part II,Follows The Matrix (tt0133093),tvEpisode,2003,\N,10,6914,8.0
6,tt0277828,Enter the Matrix,Follows The Matrix (tt0133093),videoGame,2003,\N,\N,4107,6.9
7,tt0390244,The Matrix Online,Follows The Matrix (tt0133093),videoGame,2005,\N,\N,599,6.6
8,tt0458339,Captain America: The First Avenger,,movie,2011,\N,124,896259,6.9
9,tt9208876,The Falcon and the Winter Soldier,Follows Captain America: The First Avenger (tt0458339),tvMiniSeries,2021,2021,50,251570,7.1
10,tt0102926,The Silence of the Lambs,,movie,1991,\N,118,1547047,8.6
11,tt2243973,Hannibal,Follows The Silence of the Lambs (tt0102926),tvSeries,2013,2015,45,276324,8.5
12,tt0800369,Thor,,movie,2011,\N,115,899682,7.0
13,tt8023090,Team Darryl,Follows Thor (tt0800369),short,2018,\N,6,3890,6.6
14,tt10648342,Thor: Love and Thunder,Follows Thor (tt0800369),movie,2022,\N,118,400442,6.2
15,tt2015381,Guardians of the Galaxy,,movie,2014,\N,121,1272488,8.0
16,tt13623136,The Guardians of the Galaxy Holiday Special,Follows Guardians of the Galaxy (tt2015381),tvSpecial,2022,\N,42,94425,6.9
17,tt6791350,Guardians of the Galaxy Vol. 3,Follows Guardians of the Galaxy (tt2015381),movie,2023,\N,150,379718,7.9
18,tt0478970,Ant-Man,,movie,2015,\N,117,721573,7.2
19,tt10954600,Ant-Man and the Wasp: Quantumania,Follows Ant-Man (tt0478970),movie,2023,\N,124,227710,6.1
20,tt0088763,Back to the Future,,movie,1985,\N,116,1305630,8.5
21,tt0101042,Back to the Future,Follows Back to the Future (tt0088763),tvSeries,1991,1993,23,1882,6.4
22,tt4961498,Back to the Future: The Game - 30th Anniversary Edition,Follows Back to the Future (tt0088763),videoGame,2015,\N,\N,857,8.0
23,tt0110357,The Lion King,,movie,1994,\N,88,1141099,8.5
24,tt3793630,The Lion Guard,Follows The Lion King (tt0110357),tvSeries,2015,2019,30,2675,6.4
25,tt0073486,One Flew Over the Cuckoo's Nest,,movie,1975,\N,133,1071596,8.7
26,tt7423538,Ratched,Follows One Flew Over the Cuckoo's Nest (tt0073486),tvSeries,2020,2020,60,70431,7.3
27,tt0079501,Mad Max,,movie,1979,\N,88,222133,6.8
28,tt3410888,Mad Max Motion Comic,Follows Mad Max (tt0079501),tvMiniSeries,2013,2013,5,252,5.2
29,tt0107290,Jurassic Park,,movie,1993,\N,127,1066154,8.2
30,tt8041270,Jurassic World Dominion,Follows Jurassic Park (tt0107290),movie,2022,\N,147,204376,5.6
31,tt8946378,Knives Out,,movie,2019,\N,130,773108,7.9
32,tt11564570,Glass Onion,Follows Knives Out (tt8946378),movie,2022,\N,139,440676,7.1
33,tt2493696,FIFA 13,,videoGame,2012,\N,\N,2233,8.1
34,tt1779394,FIFA International Soccer,Followed by FIFA 13 (tt2493696),videoGame,1993,\N,\N,94,6.6
35,tt1779396,FIFA Soccer 95,Followed by FIFA 13 (tt2493696),videoGame,1994,\N,\N,91,6.5
36,tt0852645,FIFA Soccer 96,Followed by FIFA 13 (tt2493696),videoGame,1995,\N,\N,167,6.5
37,tt1779400,FIFA Soccer 97,Followed by FIFA 13 (tt2493696),videoGame,1996,\N,\N,133,6.2
38,tt0332042,FIFA: Road to World Cup 98,Followed by FIFA 13 (tt2493696),videoGame,1997,\N,\N,536,7.8
39,tt0843502,FIFA 2000,Followed by FIFA 13 (tt2493696),videoGame,1999,\N,\N,476,7.1
40,tt0852644,FIFA 2001: Major League Soccer,Followed by FIFA 13 (tt2493696),videoGame,2000,\N,\N,246,6.7
41,tt0852727,FIFA Soccer 2003,Followed by FIFA 13 (tt2493696),videoGame,2002,\N,\N,573,7.0
42,tt0856079,FIFA 99,Followed by FIFA 13 (tt2493696),videoGame,1998,\N,\N,544,7.5
43,tt1779395,FIFA Soccer 2002: Major League Soccer,Followed by FIFA 13 (tt2493696),videoGame,2001,\N,\N,270,6.9
44,tt0473300,FIFA Soccer 06,Followed by FIFA 13 (tt2493696),videoGame,2005,\N,\N,654,7.3
45,tt0852727,FIFA Soccer 2003,Followed by FIFA 13 (tt2493696),videoGame,2002,\N,\N,573,7.0
46,tt0940509,FIFA 07,Followed by FIFA 13 (tt2493696),videoGame,2006,\N,\N,1000,7.7
47,tt1235895,FIFA Soccer 2005,Followed by FIFA 13 (tt2493696),videoGame,2004,\N,\N,508,7.1
48,tt1369493,FIFA Soccer 2004,Followed by FIFA 13 (tt2493696),videoGame,2003,\N,\N,419,6.9
49,tt0473300,FIFA Soccer 06,Followed by FIFA 13 (tt2493696),videoGame,2005,\N,\N,654,7.3
50,tt0940509,FIFA 07,Followed by FIFA 13 (tt2493696),videoGame,2006,\N,\N,1000,7.7
51,tt1207658,FIFA Soccer 08,Followed by FIFA 13 (tt2493696),videoGame,2007,\N,\N,885,7.4
52,tt1235895,FIFA Soccer 2005,Followed by FIFA 13 (tt2493696),videoGame,2004,\N,\N,508,7.1
53,tt1285115,FIFA 09,Followed by FIFA 13 (tt2493696),videoGame,2008,\N,240,1032,7.6
54,tt5882688,FIFA 15,Follows FIFA 13 (tt2493696),videoGame,2014,\N,\N,1374,7.1
55,tt5062598,FIFA 16,Follows FIFA 13 (tt2493696),videoGame,2015,\N,\N,1680,7.1
56,tt6306554,FIFA 17,Follows FIFA 13 (tt2493696),videoGame,2016,\N,\N,2047,7.4
