,tconst,titleType,primaryTitle,startYear,endYear,averageRating,numVotes,seriesScore,episodeScore,totalRuntime
0,tt0877057,tvSeries,Death Note,2006,2007,8.9,377996,8.61,6.78,873
1,tt0795176,tvMiniSeries,Planet Earth,2006,2006,9.4,220009,8.34,7.06,538
2,tt5290382,tvSeries,Mindhunter,2017,2019,8.6,335436,8.29,6.97,1014
3,tt9140554,tvSeries,Loki,2021,2023,8.2,411028,8.26,7.75,586
4,tt5491994,tvMiniSeries,Planet Earth II,2016,2016,9.5,157861,8.1,7.17,297
5,tt12392504,tvMiniSeries,Scam 1992: The Harshad Mehta Story,2020,2020,9.3,156735,7.98,7.07,388
6,tt5675620,tvSeries,The Punisher,2017,2019,8.4,264799,7.91,7.07,1382
7,tt2395695,tvMiniSeries,Cosmos: A Spacetime Odyssey,2014,2014,9.3,128454,7.84,7.11,559
8,tt0384766,tvSeries,Rome,2005,2007,8.7,185241,7.76,6.8,1185
9,tt3920596,tvSeries,Big Little Lies,2017,2019,8.4,224062,7.75,6.92,702
10,tt0193676,tvSeries,Freaks and Geeks,1999,2000,8.8,153182,7.67,6.94,804
11,tt0213338,tvSeries,Cowboy Bebop,1998,1999,8.9,138689,7.66,6.76,650
12,tt1865718,tvSeries,Gravity Falls,2012,2016,8.9,135216,7.64,6.94,946
13,tt10155688,tvMiniSeries,Mare of Easttown,2021,2021,8.4,187477,7.59,7.05,418
14,tt0487831,tvSeries,The IT Crowd,2006,2013,8.5,164296,7.55,6.67,617
15,tt2401256,tvMiniSeries,The Night Of,2016,2016,8.4,171602,7.52,7.04,521
16,tt28227737,tvSeries,Sandeep Bhaiya,2023,2023,9.2,74369,7.5,7.41,194
17,tt6257970,tvSeries,The End of the F***ing World,2017,2019,8.0,219712,7.49,6.71,337
18,tt4955642,tvSeries,The Good Place,2016,2020,8.2,189198,7.48,6.68,1169
19,tt0096657,tvSeries,Mr. Bean,1990,1995,8.6,133213,7.46,6.88,418
20,tt1758429,tvMiniSeries,Spartacus: Gods of the Arena,2011,2011,8.5,145298,7.46,6.92,331
21,tt1474684,tvSeries,Luther,2010,2019,8.4,154216,7.44,6.77,1165
22,tt8398600,tvSeries,After Life,2019,2022,8.4,153157,7.44,6.67,507
23,tt13991232,tvMiniSeries,1883,2021,2022,8.7,115887,7.44,6.96,562
24,tt4742876,tvSeries,TVF Pitchers,2015,2022,9.1,72289,7.43,6.88,390
25,tt9253866,tvSeries,Our Planet,2019,2023,9.3,50884,7.43,7.0,600
26,tt9432978,tvSeries,Kota Factory,2019,2021,9.0,80354,7.42,6.88,392
27,tt1870479,tvSeries,The Newsroom,2012,2014,8.6,124598,7.42,6.85,1433
28,tt2788316,tvMiniSeries,Shōgun,2024,2024,9.0,79755,7.42,7.23,582
29,tt0072500,tvSeries,Fawlty Towers,1975,1979,8.8,100093,7.41,6.99,374
30,tt6769208,tvMiniSeries,Blue Planet II,2017,2017,9.3,46308,7.4,6.99,364
31,tt0081846,tvMiniSeries,Cosmos,1980,1980,9.3,43911,7.39,6.98,780
32,tt0112130,tvMiniSeries,Pride and Prejudice,1995,1995,8.8,92244,7.37,6.77,310
33,tt3647998,tvSeries,Taboo,2017,2017,8.3,148933,7.36,6.96,467
34,tt0290978,tvSeries,The Office,2001,2003,8.5,123101,7.36,6.76,444
35,tt2249364,tvSeries,Broadchurch,2013,2017,8.4,127145,7.32,6.65,1143
36,tt7908628,tvSeries,What We Do in the Shadows,2019,2024,8.6,102528,7.31,6.68,1214
37,tt1695360,tvSeries,The Legend of Korra,2012,2014,8.3,137809,7.31,6.83,1216
38,tt0063929,tvSeries,Monty Python's Flying Circus,1969,1974,8.8,78756,7.31,6.51,1354
39,tt2261227,tvSeries,Altered Carbon,2018,2020,7.9,188597,7.3,6.41,929
40,tt5348176,tvSeries,Barry,2018,2023,8.4,122315,7.3,7.01,1027
41,tt0809488,tvMiniSeries,The Godfather Saga,1977,1977,9.5,6368,7.28,7.17,419
42,tt4202274,tvSeries,The Filthy Frank Show,2011,2017,9.2,33226,7.28,6.86,447
43,tt1910272,tvSeries,Steins;Gate,2011,2015,8.8,73309,7.28,6.78,648
44,tt1533395,tvMiniSeries,Life,2009,2009,9.1,42704,7.28,6.76,654
45,tt0374463,tvMiniSeries,The Pacific,2010,2010,8.3,129888,7.27,6.67,542
46,tt0353049,tvSeries,Chappelle's Show,2003,2006,8.8,71723,7.27,6.48,698
47,tt10233448,tvSeries,Vinland Saga,2019,2023,8.8,71386,7.27,7.09,1163
48,tt5189670,tvSeries,Making a Murderer,2015,2018,8.5,102782,7.26,6.7,1245
49,tt0994314,tvSeries,Code Geass,2006,2008,8.7,80104,7.26,6.67,1303
50,tt0071075,tvSeries,The World at War,1973,1974,9.2,28870,7.25,6.84,1344
51,tt4288182,tvSeries,Atlanta,2016,2022,8.6,87941,7.24,6.84,1198
52,tt10234724,tvMiniSeries,Moon Knight,2022,2022,7.3,269571,7.24,7.39,287
53,tt7049682,tvMiniSeries,Watchmen,2019,2019,8.2,134156,7.24,7.2,529
54,tt7909970,tvMiniSeries,Unbelievable,2019,2019,8.3,119604,7.23,6.77,385
55,tt0296310,tvMiniSeries,The Blue Planet,2001,2001,9.0,42669,7.22,6.64,390
56,tt6077448,tvSeries,Sacred Games,2018,2019,8.5,92812,7.21,6.7,795
57,tt1877514,tvMiniSeries,The Vietnam War,2017,2017,9.1,27953,7.2,6.86,990
58,tt0096548,tvSeries,Blackadder Goes Forth,1989,1989,8.8,56828,7.19,6.89,176
59,tt2063241,tvSeries,Farouk Omar,2012,2012,9.3,8077,7.19,7.13,1203
60,tt9174558,tvMiniSeries,Dopesick,2021,2021,8.6,77471,7.19,6.83,492
61,tt0387764,tvSeries,Peep Show,2003,2015,8.7,66541,7.19,6.59,1326
62,tt13309742,tvSeries,Blue Eye Samurai,2023,2023,8.7,65402,7.18,6.98,377
63,tt7493974,tvSeries,Bodyguard,2018,2018,8.0,147666,7.18,6.85,362
64,tt7016936,tvSeries,Killing Eve,2018,2022,8.1,134516,7.18,6.51,1339
65,tt9805708,tvMiniSeries,Seven Worlds One Planet,2019,2019,9.3,6051,7.18,7.04,410
66,tt0316613,tvSeries,Pretenders,2002,2004,9.3,5515,7.18,6.73,1440
67,tt0112159,tvSeries,Neon Genesis Evangelion,1995,1996,8.5,85120,7.17,6.63,612
68,tt2092588,tvMiniSeries,Frozen Planet,2011,2012,9.0,32961,7.17,6.63,559
69,tt1220617,tvSeries,The Inbetweeners,2008,2010,8.4,94312,7.16,6.66,437
70,tt10160804,tvMiniSeries,Hawkeye,2021,2021,7.5,214580,7.16,7.02,282
71,tt1492966,tvSeries,Louie,2010,2015,8.5,82190,7.16,6.64,1416
72,tt13207736,tvSeries,Monster,2022,2024,7.9,155230,7.16,6.69,526
