Const,tconst,userRating,dateRating
tt3606756,tt3606756,5,2024
tt0455565,tt0455565,8,2024
tt0317705,tt0317705,7,2024
tt21277504,tt21277504,5,2024
tt5027774,tt5027774,7,2024
tt28912758,tt28912758,3,2024
tt11016042,tt11016042,7,2024
tt15239678,tt15239678,6,2024
tt0379786,tt0379786,3,2024
tt1462764,tt1462764,3,2024
tt10167262,tt10167262,5,2024
tt0142688,tt0142688,5,2024
tt0144084,tt0144084,6,2024
tt3253930,tt3253930,6,2024
tt7984734,tt7984734,6,2024
tt16283804,tt16283804,5,2024
tt5592878,tt5592878,6,2024
tt2085059,tt2085059,7,2024
tt5295524,tt5295524,7,2024
tt0259446,tt0259446,7,2024
tt16968450,tt16968450,4,2024
tt1517268,tt1517268,5,2024
tt10478048,tt10478048,7,2024
tt14230458,tt14230458,7,2024
tt17351924,tt17351924,6,2024
tt5221894,tt5221894,8,2024
tt0947798,tt0947798,7,2024
tt4857264,tt4857264,7,2023
tt7137906,tt7137906,8,2023
tt3014212,tt3014212,5,2023
tt3718778,tt3718778,6,2023
tt5687612,tt5687612,7,2023
tt10954984,tt10954984,4,2023
tt6857112,tt6857112,5,2023
tt3032476,tt3032476,7,2023
tt0332280,tt0332280,6,2023
tt0477347,tt0477347,8,2023
tt0060196,tt0060196,6,2023
tt0059578,tt0059578,6,2023
tt10838180,tt10838180,4,2023
tt2582802,tt2582802,8,2023
tt2654430,tt2654430,6,2023
tt11337862,tt11337862,5,2023
tt0494238,tt0494238,7,2023
tt3554046,tt3554046,2,2023
tt0351283,tt0351283,6,2023
tt1139797,tt1139797,5,2023
tt15398776,tt15398776,7,2023
tt5314954,tt5314954,7,2023
tt13600412,tt13600412,6,2023
tt12749596,tt12749596,6,2023
tt8244784,tt8244784,5,2023
tt16156592,tt16156592,7,2023
tt0083866,tt0083866,8,2023
tt16447750,tt16447750,8,2023
tt2380307,tt2380307,8,2023
tt15787870,tt15787870,6,2023
tt1630029,tt1630029,6,2023
tt1675434,tt1675434,10,2023
tt9764362,tt9764362,6,2023
tt10970552,tt10970552,4,2022
tt2911666,tt2911666,5,2022
tt0862856,tt0862856,3,2022
tt0298148,tt0298148,8,2022
tt6763664,tt6763664,6,2022
tt0303461,tt0303461,4,2022
tt2442560,tt2442560,6,2022
tt0058461,tt0058461,5,2022
tt9140560,tt9140560,4,2022
tt0302022,tt0302022,5,2022
tt12618926,tt12618926,7,2022
tt0185906,tt0185906,5,2022
tt3480822,tt3480822,3,2022
tt6468322,tt6468322,4,2022
tt14164730,tt14164730,6,2022
tt1227926,tt1227926,5,2022
tt0386676,tt0386676,9,2022
tt1160419,tt1160419,6,2021
tt4941804,tt4941804,6,2021
tt2096673,tt2096673,6,2021
tt1282022,tt1282022,7,2021
tt6320628,tt6320628,4,2021
tt0264464,tt0264464,5,2021
tt0268978,tt0268978,7,2021
tt4154796,tt4154796,3,2021
tt2356777,tt2356777,7,2021
tt2140553,tt2140553,8,2021
tt4154664,tt4154664,2,2021
tt5095030,tt5095030,2,2021
tt4154756,tt4154756,4,2021
tt2250912,tt2250912,5,2021
tt1825683,tt1825683,4,2021
tt3501632,tt3501632,3,2021
tt1479962,tt1479962,9,2021
tt3896198,tt3896198,3,2021
tt1211837,tt1211837,5,2021
tt3498820,tt3498820,3,2021
tt1856010,tt1856010,6,2021
tt2103188,tt2103188,9,2021
tt3124414,tt3124414,6,2021
tt2493696,tt2493696,6,2021
tt10048342,tt10048342,7,2021
tt8946378,tt8946378,7,2021
tt0050083,tt0050083,5,2020
tt1475582,tt1475582,5,2020
tt0455275,tt0455275,6,2020
tt0477348,tt0477348,5,2020
tt1131748,tt1131748,5,2020
tt2278388,tt2278388,6,2020
tt2267998,tt2267998,7,2020
tt0119217,tt0119217,7,2020
tt0180093,tt0180093,5,2020
tt4881806,tt4881806,3,2020
tt0369610,tt0369610,3,2020
tt0163025,tt0163025,3,2020
tt0119567,tt0119567,3,2020
tt0107290,tt0107290,4,2020
tt1454468,tt1454468,5,2020
tt0208092,tt0208092,6,2020
tt0131409,tt0131409,5,2020
tt1392190,tt1392190,6,2020
tt5613056,tt5613056,7,2020
