,tconst,titleType,primaryTitle,originalTitle,startYear,endYear,averageRating,numVotes,seriesScore,seriesRank,episodeScore,episodeRank,totalRuntime,combinedMetric
1,tt2560140,tvSeries,Attack on Titan,Shingeki no Kyojin,2013,2023,9.1,494904,9.04,14,8.216938775510204,6,2458,37.14056326530612
2,tt0141842,tvSeries,The Sopranos,The Sopranos,1999,2007,9.2,459666,9.02,15,7.172209302325581,1286,4733,32.34666395348837
3,tt3322312,tvSeries,Daredevil,Daredevil,2015,2018,8.6,469855,8.68,34,7.402051282051282,318,2080,32.12490256410256
4,tt9140554,tvSeries,Loki,Loki,2021,2023,8.2,404538,8.26,54,7.746666666666666,12,586,31.99373333333333
5,tt4158110,tvSeries,Mr. Robot,Mr. Robot,2015,2019,8.5,414074,8.48,46,7.459555555555555,223,2199,31.628515555555555
6,tt0475784,tvSeries,Westworld,Westworld,2016,2022,8.5,528568,8.74,30,7.2333333333333325,975,2185,31.609666666666662
7,tt1520211,tvSeries,The Walking Dead,The Walking Dead,2010,2022,8.1,1068143,8.97,18,6.990338983050847,2534,8105,31.351670338983052
8,tt0306414,tvSeries,The Wire,The Wire,2002,2008,9.3,371496,8.86,22,7.017666666666667,2223,3566,31.088263333333334
9,tt0417299,tvSeries,Avatar: The Last Airbender,Avatar: The Last Airbender,2005,2008,9.3,355085,8.8,26,7.0482258064516135,2090,1504,31.012193548387103
10,tt2802850,tvSeries,Fargo,Fargo,2014,2024,8.9,413212,8.72,31,6.97313725490196,2644,2647,30.40287843137255
11,tt7660850,tvSeries,Succession,Succession,2018,2023,8.9,260738,8.22,59,7.345641025641026,559,2477,30.19058461538462
12,tt0412142,tvSeries,House,House M.D.,2004,2012,8.7,502058,8.81,25,6.84840909090909,4041,7811,30.167242045454543
13,tt2306299,tvSeries,Vikings,Vikings,2013,2020,8.5,573856,8.82,24,6.738817204301076,5554,4156,29.718183870967746
14,tt10986410,tvSeries,Ted Lasso,Ted Lasso,2020,2023,8.8,335537,8.43,47,7.018235294117647,2222,1443,29.581861764705884
15,tt0460681,tvSeries,Supernatural,Supernatural,2005,2020,8.4,477484,8.57,40,6.892935779816513,3489,14726,29.53622981651376
16,tt0795176,tvMiniSeries,Planet Earth,Planet Earth,2006,2006,9.4,218520,8.35,49,7.06,1942,538,29.475499999999997
17,tt0098904,tvSeries,Seinfeld,Seinfeld,1989,1998,8.9,346785,8.53,44,6.830057803468208,4186,4168,29.130196531791903
18,tt0877057,tvSeries,Death Note,Death Note: Desu nôto,2006,2007,8.9,370714,8.6,38,6.773513513513514,5003,873,29.12610810810811
19,tt1632701,tvSeries,Suits,Suits,2011,2019,8.4,469435,8.55,42,6.805373134328358,4425,5879,29.09297014925373
20,tt5491994,tvMiniSeries,Planet Earth II,Planet Earth II,2016,2016,9.5,156061,8.11,66,7.171666666666667,1288,297,29.081108333333333
21,tt5290382,tvSeries,Mindhunter,Mindhunter,2017,2019,8.6,329021,8.28,52,6.973157894736842,2642,1014,28.868873684210527
22,tt2243973,tvSeries,Hannibal,Hannibal,2013,2015,8.5,273251,8.02,74,7.158974358974358,1324,1683,28.707487179487174
23,tt5071412,tvSeries,Ozark,Ozark,2017,2022,8.5,341420,8.26,54,6.889772727272727,3515,2659,28.45476136363636
24,tt1124373,tvSeries,Sons of Anarchy,Sons of Anarchy,2008,2014,8.6,319641,8.25,57,6.8951086956521745,3479,5051,28.44232336956522
25,tt12392504,tvMiniSeries,Scam 1992: The Harshad Mehta Story,Scam 1992: The Harshad Mehta Story,2020,2020,9.3,155213,7.99,76,7.077,1859,387,28.272615000000002
26,tt5675620,tvSeries,The Punisher,The Punisher,2017,2019,8.5,261126,7.97,78,7.066538461538461,1924,1382,28.160155769230766
27,tt19394720,tvMiniSeries,Dentist Answers,The Dentist Answers You,2021,2021,10.0,7,7.5,149,7.5,24,619,28.125
28,tt15311906,tvMiniSeries,Dierks Bentley - Black,Dierks Bentley - Black,2016,2016,9.9,21,7.45,261,7.5,24,155,27.9375
29,tt4052886,tvSeries,Lucifer,Lucifer,2016,2021,8.1,351476,8.04,71,6.94752688172043,2925,4391,27.929058064516123
